review_title,review_text,review_rating
"
Fabric
","
First time i ordered the smar product its very comfortable and cotton fabric but second time the fabric is completely different
",1.0 out of 5 stars
"
Fentistic
","
Super quality .
",5.0 out of 5 stars
"
Nice
","
Nice
",5.0 out of 5 stars
"
Simple super
","
Good saree
",5.0 out of 5 stars
"
😊
","
Good product,, value for money
",5.0 out of 5 stars
"
Yashika art silk saree is a good quality
","
Good saree.and it's look awesome I like it.
",5.0 out of 5 stars
"
Bekar
","
Paisa best
",1.0 out of 5 stars
"
Good
","
Good
",5.0 out of 5 stars
"
Nice product
","
good quality
",5.0 out of 5 stars
"
Super
","
Awesome
",5.0 out of 5 stars
"
Ok
","
Ok
",1.0 out of 5 stars
"
Value for money
","
Good
",5.0 out of 5 stars
"
Ok
","
Ok
",5.0 out of 5 stars
"
Nice
","
Nice
",5.0 out of 5 stars
"
Bad quality
","
Worst Saree.. model super but Saree cloth very tranferent ..
",1.0 out of 5 stars
"
Very very bad quality
","
Very very bad quality
",1.0 out of 5 stars
"
Waste
","
Waste
",1.0 out of 5 stars
"
Worst than imagined
","
Not the same as picture and very poor quality
",1.0 out of 5 stars
"
Don't waste your money nd time also.
","
Bad quality product
",1.0 out of 5 stars
"
west of money because defect product
","
defect product in dilevery .bad product
",1.0 out of 5 stars
"
Quality is very poor
","
Quality is very poor
",1.0 out of 5 stars
"
Not even upto the mark
","
Not as expected
",1.0 out of 5 stars
"
Very cheap
","
Very cheapest item 😩
",1.0 out of 5 stars
"
Waste of money
","
No value for money
",1.0 out of 5 stars
"
Not satisfied
","
Poor quality
",1.0 out of 5 stars
"
Ritu
","
Product quality is not good
",2.0 out of 5 stars
"
बहुत घटिया सर्विस है, डिलेवरी के लिए निकाले बिना ही समान वापस चला गया।
","
बहुत बेकार सर्विस है, समान अभी तक नही मिला मेरा, और कस्टमर केयर भी इसका कोई मदद नही करता। पैसा फस जाएगा। अगर कोई पटना, बिहार से है तो इसे मत लेना। बिना डिलीवरी के निकाले ही खुद से सामान वापस ले जाता है।
",1.0 out of 5 stars
"
Good
","
Value for money.
",4.0 out of 5 stars
"
Not satisfied
","
Very light weight saree, Not satisfied , Not as expection , just ok product.Material is also not so good
",1.0 out of 5 stars
"
Low quality
","
Money  Waste low quality of product so dont sale this itam on amazon ur market dawon in ur hand so plz dont sale this
",1.0 out of 5 stars
"
One Star
","
Don't buy it...  Wors fabric quality
",1.0 out of 5 stars
"
💙💙💙💙💙💙💙
","
Value for money, cheap and best, ideal for daily wear, its light weight so this saree is very comfortable
",5.0 out of 5 stars
"
Great deal
","
10% colour was changed as shown in pictures. the weight of this saree really light in weight and very comfortable in wear.
",5.0 out of 5 stars
"
AmaZing saree
","
Very beautiful Saree .. light weight. It looks very elegant . Cloth is very fine . And you get such a great product at such a great price.
",5.0 out of 5 stars
"
Awesome product
","
This is awesome. I liked it too much. Fabric is awesome. Color also good. In short, worth the money.
",5.0 out of 5 stars
"
Very cheap n poor quality
","
Ohhh God what is this. go to hell. the saree is very bad. Pl don't purchased it
",1.0 out of 5 stars
"
Waste...total waste...
","
Its such a pathetic thing to start with...not at all cotton...cheap material...if i could give negative stars i will do that...RETURNED!!!
",1.0 out of 5 stars
"
Good
","
Value for money
",5.0 out of 5 stars
"
Good product
","
10/10 for this Saree.This colour is my favorite.The product is same as shown in the picture.Must buy.The best part is the blouse, it has nice design.
",5.0 out of 5 stars
